SignID,写真ID,写真ファイル名,緯度,経度,採集日時,名称,主要言語,補助言語,装飾的言語,設置主体,担体類型,時間性,可読性,来源類型,視認等級,多言語関係,想定受容者,制作品質,位置描述,備考,_status,言説類型,状態,層状性
HAS-S019-a,HAS-20260531-019,HAS-20260531-019.jpg,35.5973639,139.3420722,2026-05-31 16:52:44,Hoyt Abode Blue Ridge,英語,—,英語(装飾),商業,建物固定(看板),,,bottom-up(ローカル自作),,単言語型,,,,Blue Ridgeの山並み、森林、太陽のイラスト装飾を含む。ホテル・宿泊施設と推定される。看板は黒地に白色テキストで、表面に汚れ・劣化が見られる。,ai,商品・サービス,古い/劣化,単層
HAS-S020-a,HAS-20260531-020,HAS-20260531-020.jpg,35.5973889,139.3420417,2026-05-31 16:52:53,Y.E.S.英会話,日本語,英語,英語(ブランド名),商業,貼付物(ポスター),,,top-down(標準化),,補完型,,,,英会話スクール向けの看板。カラフルな紫×黄色配色。ウサギキャラクター使用。各年齢層向けのコース表記あり。2才からの英会話開始をアピール。電話番号記載。,ai,広告・宣伝,現役,単層
HAS-S021-a,HAS-20260531-021,HAS-20260531-021.jpg,35.5974194,139.3420556,2026-05-31 16:52:58,建物賃貸広告（JCOM案内）,日本語,—,英語(JCOM),商業,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,赤色背景の貼付型ポスター。JCOMのブランドロゴと日本語テキストで賃貸物件の空室利用を案内。建物の石貼り壁面に貼付。緑色のLED表示サイン（階数表示26）も同時に見える。,ai,広告・宣伝,現役,単層
HAS-S022-a,HAS-20260531-022,HAS-20260531-022.jpg,35.5974583,139.3420722,2026-05-31 16:53:00,駐車禁止標識,—,—,—,行政/公共機関,建物固定(看板),,,top-down(標準化),,単言語型,,,,日本の標準的な駐車禁止標識。円形のデザインに「C」の文字と斜線が特徴。テクスチャーのあるメタリック素材製。公式な交通規制標識。,ai,禁止・注意,現役,単層
HAS-S023-a,HAS-20260531-023,HAS-20260531-023.jpg,35.5974528,139.3420556,2026-05-31 16:53:08,リラクゼーション「for You」,日本語,—,英語(ブランド名),商業,建物固定(看板),,,bottom-up(ローカル自作),,単言語型,,,,"リラクゼーション施設の営業看板。2階の独占施設・アロマセラピーサービスを告知。料金表記あり（4,000円～8,000円）。電話番号(080-7569-1588)記載。落ち着いた配色（紫・ピンク・オレンジグラデーション）で女性顧客向けを意識したデザイン。",ai,広告・宣伝,現役,単層
HAS-S024-a,HAS-20260531-024,HAS-20260531-024.jpg,35.5974611,139.3420417,2026-05-31 16:53:12,理美容店舗の入口看板・営業案内,日本語,—,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,店舗入口のガラスドアに複数の看板が重層的に配置。赤いロゴ看板(オレンジ系の色使い)、白い「KIE」の店舗名表示、上部に赤い営業時間案内看板あり。営業中を示す表示も確認できる。都市部の商業地区における典型的な理美容店舗の言語景観。,ai,商品・サービス,現役,多層
HAS-S025-a,HAS-20260531-025,HAS-20260531-025.jpg,35.5974722,139.3420111,2026-05-31 16:53:26,ヤマグチ薬局 北橋本店,日本語,—,—,商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,緑色の背景に赤と白の文字で薬局名を表示。下部に「処方せん受付」の表示と電話番号記載。ハート型ロゴが特徴。保険調剤薬局の標準的な看板デザイン。,ai,商品・サービス,現役,単層
HAS-S026-a,HAS-20260531-026,HAS-20260531-026.jpg,35.5974417,139.3419806,2026-05-31 16:53:32,ヤマグチ薬局 北橋本店,日本語,—,—,商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,営業時間(AM9:00～PM6:00、土AM9:00～AM12:00)、定休日(日・祝日)、電話番号(042-700-5520)を表示。緑色の背景に赤/ピンク色の文字。店舗窓にも保険薬局の黄色いステッカーあり。,ai,商品・サービス,現役,単層
HAS-S027-a,HAS-20260531-027,HAS-20260531-027.jpg,35.5974361,139.3418722,2026-05-31 16:54:14,北橋本店（飲食店舗看板）,日本語,—,—,商業,建物固定(看板),,,bottom-up(ローカル自作),,単言語型,,,,左側の建物に緑色の看板で「北橋本店」と表記。電話番号042-700-5820も併記。日本の住宅街における典型的な地元飲食店の標識。,ai,商品・サービス,現役,単層
HAS-S028-a,HAS-20260531-028,HAS-20260531-028.jpg,35.5975,139.3420556,2026-05-31 16:54:38,薬局看板（処方箋受付・ヤマザキ薬局）,日本語,—,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,緑色の背景に黄色い大きな日本語テキスト「処方せん受付」を配置。右側にピンクのハート図形とブランド名「ヤマザキ薬局」を含む。上部には「ALSOK」ロゴ、上方に緑色の誘導看板あり。商業看板としての標準的な設計。,ai,商品・サービス,現役,多層
HAS-S029-a,HAS-20260531-029,HAS-20260531-029.jpg,35.5974972,139.342025,2026-05-31 16:54:49,店舗入口の決済方法標識およびブランドロゴ群,日本語,英語,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,補完型,,,,JCB、AMEX、Diners Club、Discover等の決済ブランドロゴが縦一列に配置。ALSOK表示も含む。店舗外観は緑色のパネルで装飾。複数の決済方法に対応していることを視覚的に表示する国際的な標準表示形式。,ai,商品・サービス,現役,多層
HAS-S030-a,HAS-20260531-030,HAS-20260531-030.jpg,35.5975,139.3419639,2026-05-31 16:54:59,商店街UP!出会い・ふれあい商店街（さがみはら加入店キャンペーン）,日本語,—,英語(UP!),商業,貼付物(ステッカー),,,top-down(標準化),,単言語型,,,,相模原商店街の加盟店舗であることを示すステッカー。親しみやすい緑色の円形デザインで、3人のキャラクターイラストを使用。商店街振興キャンペーンの一環。,ai,広告・宣伝,現役,単層
HAS-S031-a,HAS-20260531-031,HAS-20260531-031.jpg,35.5974278,139.3419333,2026-05-31 16:55:07,保険薬局の受付・案内看板,日本語,—,英語(ブランド名：R),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,黄色地に黒字で「処方せん受付」「保険薬局」と明記。「R」ロゴマークは医療関連施設の標準化シンボル。相模原市薬剤師会会員との組織情報も記載。背景の緑色パネルとの階層的配置により視認性を確保。,ai,案内,現役,単層
HAS-S032-a,HAS-20260531-032,HAS-20260531-032.jpg,35.5974167,139.34195,2026-05-31 16:55:13,ジェネリック医薬品および後発医薬品の取り扱い案内,日本語,—,—,行政/公共機関,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,神奈川県薬剤師会による公式ポスター。薬局でジェネリック医薬品の取り扱いを案内し、相談を促すもの。医療用語と日常用語を組み合わせた平易な表現。イラストで医薬品と相談の内容を視覚的に表現。,ai,案内,現役,単層
HAS-S033-a,HAS-20260531-033,HAS-20260531-033.jpg,35.5975083,139.34195,2026-05-31 16:55:22,街路電話ボックス（グラフィティ書き込みあり）,その他,—,—,行政/公共機関,その他,,,不明,,単言語型,,,,公共施設の電話ボックスに落書き（グラフィティ）が施されており、維持管理状態が低下している。道路脇の歩道に設置された標準的な街路家具。表示言語の判別は困難。,ai,不明,古い/劣化,多層
HAS-S034-a,HAS-20260531-034,HAS-20260531-034.jpg,35.5974889,139.3419639,2026-05-31 16:55:27,グラフィティ/落書き,その他,—,—,個人/非正式,移動物体(停車中),,,bottom-up(ローカル自作),,単言語型,,,,ゴミ箱に貼り付けられた白紙に手書きグラフィティ。複数の黒ペンで描かれた抽象的な線描。非正式な路上アート/落書き。劣化した環境と周辺にも白いステッカーが複数見られる。,ai,その他,一時掲示,単層
HAS-S035-a,HAS-20260531-035,HAS-20260531-035.jpg,35.5974778,139.34195,2026-05-31 16:55:34,橋L.P 2,日本語,—,—,行政/公共機関,建物固定(門牌),,,top-down(標準化),,単言語型,,,,駐車場の区画番号を示す標識。ペグボード式の緑色パネルに白地の名札形式で「橋L.P 2」と記載。L.P はLot Parking の略号と推定。劣化は軽微で機能的に維持されている。,ai,案内,現役,単層
HAS-S036-a,HAS-20260531-036,HAS-20260531-036.jpg,35.5974667,139.3419333,2026-05-31 16:55:38,LS,英語,—,—,行政/公共機関,建物固定(門牌),,,top-down(標準化),,単言語型,,,,建物の壁面に取り付けられた金属製の文字表示。LSはおそらく地名や施設の略称と考えられる。表面に経年劣化と汚れが見られ、周囲の建物外壁も古い。路面にはレンガ舗装と線路跡が確認でき、歴史的な都市空間を示唆している。,ai,案内,古い/劣化,単層
HAS-S037-a,HAS-20260531-037,HAS-20260531-037.jpg,35.5974611,139.3418111,2026-05-31 16:55:50,,,,,,,,,,,,,,,,ai,,,
HAS-S038-a,HAS-20260531-038,HAS-20260531-038.jpg,35.5974611,139.3418111,2026-05-31 16:55:53,建物住所表示（橋本6丁目26-14）,日本語,—,—,行政/公共機関,建物固定(門牌),,,top-down(標準化),,単言語型,,,,青色背景に白色フォントの標準的な日本の住所表示プレート。数字を大きく視認性を重視した設計。建物の外壁（レンガタイル貼り）に固定されている。,ai,案内,現役,単層
HAS-S039-a,HAS-20260531-039,HAS-20260531-039.jpg,35.5974917,139.3417806,2026-05-31 16:56:02,エイテル不動産企業の看板,日本語,—,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,緑色背景のプロパティ管理会社の看板。雑草が繁茂しており、長期間メンテナンスされていない状態。電話番号(270-518)が表示されている。,ai,商品・サービス,古い/劣化,単層
HAS-S040-a,HAS-20260531-040,HAS-20260531-040.jpg,35.5975111,139.3417806,2026-05-31 16:56:06,Grand Marche,フランス語,—,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,階段下の曲がり角に設置された店舗表示。フランス語の優位性が高く、地域のフランス語使用環境を反映。看板の劣化や色褪せが見られる。,ai,商品・サービス,古い/劣化,単層
HAS-S041-a,HAS-20260531-041,HAS-20260531-041.jpg,35.5975222,139.3417361,2026-05-31 16:56:13,閉店のお知らせ,日本語,—,—,商業,貼付物(ポスター),,,bottom-up(ローカル自作),,単言語型,,,,自動ドア横に貼付された閉店告知ポスター。日付が確認できる一時的な掲示物。ドアパネルに貼り付けられている。,ai,案内,一時掲示,単層
HAS-S042-a,HAS-20260531-042,HAS-20260531-042.jpg,35.5975528,139.3416889,2026-05-31 16:56:22,食品包装への印字・表示（複数商品）,日本語,—,—,商業,その他,,,top-down(標準化),,単言語型,,,,メッシュ上に置かれた食品包装紙。上部は白い包装紙で縦書き日本語表示。下部は製品パッケージで「ひろしまお好み焼き」関連製品と推測。キャラクターイラスト（子どもと昆虫）が装飾的に配置されている。実際の店舗や販売環境での配置物と見られる。,ai,商品・サービス,古い/劣化,多層
HAS-S043-a,HAS-20260531-043,HAS-20260531-043.jpg,35.59755,139.3416889,2026-05-31 16:56:27,警告・注意喚起表示,日本語,—,—,行政/公共機関,建物固定(看板),,,top-down(標準化),,単言語型,,,,警告三角マークと禁止マーク(喫煙)を含む。時間指定、ケガの危険、人物についての注意事項が記載。カギ付きの金属製ボックスに固定。建築関連施設(おそらく換気口やガス漏れ検知装置など)の安全警告と推定される。,ai,禁止・注意,現役,単層
HAS-S044-a,HAS-20260531-044,HAS-20260531-044.jpg,35.5975528,139.3416889,2026-05-31 16:56:28,階段扉の警告表示,日本語,—,—,行政/公共機関,建物固定(その他),,,top-down(標準化),,単言語型,,,,階段扉の不適切な使用を警告する標識。三角形の警告マーク付き。錠前機構を備えた防火扉。モデル番号B6841104-025726-2が表示されている。,ai,禁止・注意,現役,単層
HAS-S045-a,HAS-20260531-045,HAS-20260531-045.jpg,35.5976444,139.3417056,2026-05-31 16:56:54,SHIAN hair salon,日本語,英語,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,補完型,,,,白地に黒フォントのシンプルな看板。上部に装飾的なロゴマークあり。建物正面の左側に設置。美容室の標準的な看板表示,ai,商品・サービス,現役,単層
HAS-S046-a,HAS-20260531-046,HAS-20260531-046.jpg,35.5976444,139.3417056,2026-05-31 16:56:58,暗証番号入力不可のお知らせ,日本語,—,—,行政/公共機関,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,2029年8月11日までの期限付き掲示。ATM利用時の暗証番号入力不可に関する告知ポスター。システムメンテナンスまたはセキュリティ対応に関連するもの。金融機関による公式掲示物と判断される。,ai,案内,現役,単層
HAS-S047-a,HAS-20260531-047,HAS-20260531-047.jpg,35.5976528,139.3416889,2026-05-31 16:57:06,,,,,,,,,,,,,,,,ai,,,
HAS-S048-a,HAS-20260531-048,HAS-20260531-048.jpg,35.5976528,139.341675,2026-05-31 16:57:12,管理会社（不動産賃貸・管理・売却）パートナーズプラス,日本語,—,英語(ブランド名),商業,貼付物(ステッカー),,,top-down(標準化),,単言語型,,,,青色と白色の配色で視認性が高い。建物壁面にステッカー形式で貼付されている。東京の都心部における不動産管理会社の営業用看板。,ai,商品・サービス,現役,単層
HAS-S049-a,HAS-20260531-049,HAS-20260531-049.jpg,35.5977389,139.3415667,2026-05-31 16:57:31,,,,,,,,,,,,,,,,ai,,,
HAS-S050-a,HAS-20260531-050,HAS-20260531-050.jpg,35.5977028,139.3413694,2026-05-31 16:58:02,エアコン室外機の製造メーカーロゴ/品番表示,その他,—,—,商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,エアコン室外機に付属する製造業者の品番・ロゴプレート。装飾的な幾何学模様を含む金属製または樹脂製のメーカー銘板。建物の外壁に設置された空調設備の一部として機能している。,ai,商品・サービス,現役,単層
HAS-S051-a,HAS-20260531-051,HAS-20260531-051.jpg,35.5977056,139.3413694,2026-05-31 16:58:06,ダイキン skyair冷房室外機ラベル,日本語,—,英語(ブランド名),商業,建物固定(その他),,,top-down(標準化),,単言語型,,,,冷房室外機に貼付されたメーカーラベル。DAIKINロゴとskyairブランド名、ピンク色のRAIDA表記と右側に使用注意記号及び日本語の警告文表示。経年劣化で表面が変色・汚れている。,ai,商品・サービス,古い/劣化,単層
HAS-S052-a,HAS-20260531-052,HAS-20260531-052.jpg,35.5976917,139.3414778,2026-05-31 16:58:18,中小企業のお店20%還元キャンペーン,日本語,—,英語(PayPay、楽天Pay等),行政/公共機関,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,相模原市による中小企業支援キャンペーンの告知ポスター。期間は2026年5月20日(水)～6月19日(金)。最大20%のポイント還元を対象店舗で実施。PayPay、楽天Pay等の決済サービスのロゴを掲載。キャラクター(さがみはらっぴ)による視覚的な訴求がある。,ai,広告・宣伝,現役,単層
HAS-S053-a,HAS-20260531-053,HAS-20260531-053.jpg,35.5976778,139.3414917,2026-05-31 16:58:25,,,,,,,,,,,,,,,,ai,,,
HAS-S054-a,HAS-20260531-054,HAS-20260531-054.jpg,35.5976667,139.3415222,2026-05-31 16:58:30,申焼き（さとう）- 炭焼き料理店の看板,日本語,英語,英語(店名のローマ字表記),商業,建物固定(看板),,,top-down(標準化),,平行型,,,,落ち着いたグレーの背景に白字で漢字と英語ローマ字を配置。自転車が写真の一部に入り込んでいるため、店の立地の具体的な様子を示している。小見出しの小さな「申焼き」と大きな本字「佐藤」の階層的な表現は、屋号と人名の関係を示唆している。,ai,商品・サービス,現役,単層
HAS-S055-a,HAS-20260531-055,HAS-20260531-055.jpg,35.5976528,139.3415361,2026-05-31 16:58:37,スタッフ募集 居酒屋アルバイト求人広告,日本語,—,英語(STAFF WANTED),商業,貼付物(ポスター),,,bottom-up(ローカル自作),,単言語型,,,,居酒屋のスタッフ求人ポスター。時給1225円、勤務時間18:00～23:00(3～9時間可)、年齢不問。ホール・キッチン・オイル・ビアス配置の業務内容記載。手書き情報を含む。外見の劣化と色褪せが著しく、貼付されてから相当時間経過していると推測される。,ai,広告・宣伝,古い/劣化,単層
HAS-S056-a,HAS-20260531-056,HAS-20260531-056.jpg,35.5976417,139.3415667,2026-05-31 16:58:45,ぽん酢サワー広告ポスター,日本語,—,英語(ブランド名・since 1960),商業,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,mizkan(ミツカン)ブランドの「ぽん酢サワー」製品の販促ポスター。1960年創業を示すタグラインあり。青色背景で清涼感を表現。右側に縦書き日本語テキスト。下部に商品説明と注意書きあり。かなり古い時期の製作と推定される。,ai,広告・宣伝,古い/劣化,単層
HAS-S057-a,HAS-20260531-057,HAS-20260531-057.jpg,35.5977333,139.3414778,2026-05-31 16:59:09,キリンビール広告ポスター（生ビール品質保証キャンペーン）,日本語,—,英語(ブランド名),商業,貼付物(ポスター),,,top-down(標準化),,単言語型,,,,キリンビール株式会社の公式ポスター。生ビールの品質保証と提供方法に関する説明（注ぎ方、グラス洗浄、圧力管理など5項目）を記載。上部にブランドロゴ、下部に警告文（20歳未満飲酒禁止、妊娠中・授乳中の飲酒制限）。タテ書き和文とロゴの組み合わせで日本的な公式広告として機能。,ai,広告・宣伝,現役,単層
HAS-S058-a,HAS-20260531-058,HAS-20260531-058.jpg,35.5977167,139.3413389,2026-05-31 16:59:31,自転車等放置禁止区域 / No Smoking Area / Litter Prevention,日本語,英語,—,行政/公共機関,路面固定,,,top-down(標準化),,補完型,,,,2つの標識が同一ポールに設置されている。上部は相模原市の自転車・スクーター放置禁止区域を示す標識。下部は喫煙・ポイ捨て禁止の標識で、日本語と英語の両言語で警告を表示している。いずれも行政による規制標識で、劣化は軽度。,ai,禁止・注意,現役,多層
HAS-S059-a,HAS-20260531-059,HAS-20260531-059.jpg,35.5977139,139.3413389,2026-05-31 16:59:33,,,,,,,,,,,,,,,,ai,,,
HAS-S060-a,HAS-20260531-060,HAS-20260531-060.jpg,35.5976972,139.341325,2026-05-31 16:59:40,KY2025,英語,日本語,—,行政/公共機関,建物固定(門牌),,,top-down(標準化),,平行型,,,,電力設備上の識別番号・管理ラベル。KY は危険予知(Kiken Yosoku)の略称と考えられる。下部に日本語の詳細情報パネルあり。電柱に設置された変圧器または配電盤の管理用タグ。,ai,政治・行政,現役,単層
HAS-S061-a,HAS-20260531-061,HAS-20260531-061.jpg,35.5976944,139.3413083,2026-05-31 16:59:46,浜松医院の広告・住所表示,日本語,—,英語(ブランド名),商業,路面固定,,,top-down(標準化),,単言語型,,,,電柱に装着された医院の案内看板。医院名『Hamaakubo Clinic』のロゴ、診療科目『内科・消化器外科』、住所『橋本6-26』、電話番号『042-770-1811』、QRコードを記載。垂直方向に長い帯状の看板で複数行の情報を効率的に表示。,ai,広告・宣伝,現役,単層
HAS-S062-a,HAS-20260531-062,HAS-20260531-062.jpg,35.5976556,139.3413083,2026-05-31 16:59:54,St.Lavido 痩身エステ・フェイシャル・美容鍼灸エステ,日本語,—,英語(ブランド名),商業,建物固定(看板),,,top-down(標準化),,単言語型,,,,2階の店舗位置を示すオレンジ色の円形表示あり。曲面建築物に設置された複数の看板で構成。電話番号(0120-50-1107)を含む営業情報を表示。,ai,商品・サービス,現役,多層
HAS-S063-a,HAS-20260531-063,HAS-20260531-063.jpg,35.5976417,139.341325,2026-05-31 17:00:00,コカ・コーラ自動販売機（Coke ON）,日本語,英語,英語(ブランド名),商業,移動物体(停車中),,,top-down(標準化),,補完型,,,,Coke ON会員向けキャンペーン「買うたびスタンプ1本無料」の大型ポスターが中央下部に貼付。QRコード、スマートフォン決済対応表示、販売情報タグなど複数の情報層が配置されている。日本の都市公共空間における標準化された自動販売機の言語景観事例。,ai,広告・宣伝,現役,多層
